Species,StreamFlow,SpawnArea
Chinook,166,7703
Chinook,202,8378
Chinook,236,9099
Chinook,276,9955
Chinook,320,10546
Chinook,365,12091
Chinook,424,12818
Chinook,476,12000
Chinook,518,10180
Chinook,607,9414
Chinook,715,8423
Chinook,840,7027
Chinook,996,5225
Chinook,1174,4561
Chinook,1380,3902
Sockeye,163,723
Sockeye,204,791
Sockeye,246,837
Sockeye,287,896
Sockeye,341,941
Sockeye,390,946
Sockeye,434,855
Sockeye,474,746
Sockeye,531,614
Sockeye,643,481
Sockeye,759,406
Sockeye,826,333
Sockeye,893,238
Coho,163,11165
Coho,239,11987
Coho,311,12124
Coho,362,12124
Coho,440,11233
Coho,492,9088
Coho,575,7466
Coho,685,5507
Coho,750,4474
Coho,880,3423
Pink,166,830
Pink,246,915
Pink,310,977
Pink,366,1019
Pink,418,1052
Pink,487,1045
Pink,650,1000
Pink,815,781
Pink,902,532