Site ID,Stream Temperature 2040s,Stream Temperature 2080s,Stream Temperature Historical,Streamflow Historical,Streamflow 2040s,Streamflow 2080s
ALB,24.304,25.621,18.74753846,2022.029714,2042.155229,1955.022943
LIB,18.852,19.938,11.41084615,4092.903714,2727.771443,2488.091671
BFE,12.079,12.824,6.987846154,5730.669857,4217.675486,3687.116386
HOD,22.852,23.982,14.71061538,297.4502857,251.9171571,250.7656714
JDA,29.051,30.255,19.82761538,75096.176,62201.72423,64692.85303
KLC,24.66,25.814,16.204,479.4795714,418.0073714,557.9186857
TDA,30.062,31.277,20.66192308,78881.48057,65027.50066,68126.20663
WHT,25.286,26.443,16.71953846,173.0958571,177.3920429,175.3866429
WWA,30.553,31.775,21.06615385,131.8041429,98.91687143,146.9600143
ANA,27.917,29.111,18.89323077,15323.47629,15091.14704,14896.38664
BRN,20.016,21.111,12.36984615,11705.18071,11340.41703,10772.9092
DWR,19.004,20.089,11.53615385,979.4535714,879.1980571,776.0960714
GAL,19.832,20.925,12.21830769,302.633,276.9275,273.5076714
HCD,22.451,23.579,14.38076923,11803.64071,11410.01849,10885.20801
IHR,30.789,32.015,21.26238462,18344.94414,17669.99583,19071.32191
LGS,28.169,29.361,19.09969231,17737.55986,17282.38281,18629.42011
LIM,28.212,29.407,19.13707692,14433.88157,13570.96937,12691.89393
LMN,28.333,29.53,19.23692308,18169.23014,17560.39354,18964.3814
LWG,26.615,27.791,17.81630769,17608.34743,17201.75283,18537.43094
ORO,19.004,20.089,11.53615385,931.6444286,739.8535,609.4954571
OXB,19.614,20.705,12.03876923,11731.99986,11359.61101,10803.87561
PLS,27.426,28.611,18.48630769,0.743142857,0.6389,0.508242857
SPD,24.625,25.776,16.17453846,2174.316143,1924.705214,1659.132786
TRY,26.255,27.426,17.52046154,420.7481429,354.6549857,354.9722143
WEN,24.988,26.143,16.47315385,41.43385714,31.33401429,29.94887143
WHB,18.52,19.6,11.13569231,2225.336857,1815.823429,1513.854714
CHJ,23.806,25.116,16.93630769,38870.32771,31469.97724,33254.89323
GCL,24.038,25.357,17.13176923,38622.27057,31198.29709,33107.58199
KET,21.806,23.02,15.24030769,510.361,455.8592143,476.2458
PRD,26.174,27.596,18.94423077,43451.52114,36614.24044,39763.25713
RIS,23.418,24.709,16.60684615,42767.46314,35940.92526,39011.65627
RRH,23.13,24.409,16.36384615,42026.96929,34746.96801,37988.28917
WAN,25.404,26.79,18.29269231,43102.584,36317.62413,39352.82186
WEL,24.717,26.067,17.70715385,40243.31486,32715.3679,35537.57509
YAK,29.984,31.59,22.17653846,3170.468429,2655.433171,3195.728571
ALF,16.255,17.202,10.53046154,10146.12071,8662.428814,9149.153886
BDY,11.978,12.718,6.902076923,10484.80143,8937.152,9419.958514
BOX,11.418,12.131,6.427076923,10207.81243,8712.340543,9194.458543
CAB,18.444,19.525,11.07376923,7612.235714,6331.774743,7148.672957
CFM,19.121,20.21,11.63276923,1443.428429,1023.094986,902.6043
HGH,19.392,20.484,11.85661538,469.489,223.4780429,142.7519429
KER,19.392,20.484,11.85661538,2974.675143,2251.202,2203.134957
LCF,19.655,20.749,12.07353846,2439.003286,1865.324871,2044.369757
NOX,18.852,19.938,11.41084615,7472.929,6245.4237,6988.933043
SUV,9.902,10.542,5.141384615,100.7208571,87.258,92.25691429
TOM,19.392,20.484,11.85661538,7304.896429,6115.984857,6804.856571
COE,24.045,25.19,15.69469231,374.1468571,207.6364714,213.6079286
LLK,20.104,21.235,13.79461538,698.4375714,515.4438143,539.5716857
MON,24.114,25.258,15.75261538,505.2282857,321.9542714,343.3199857
PFL,24.336,25.485,15.93623077,453.3542857,279.4979857,301.9946286
PAK,17.791,18.93,13.52446154,247.3217143,215.0093286,194.1907143
DET,15.776,16.86,11.90838462,271.8378571,218.6151857,200.0793571
DEX,22.801,24.076,17.54115385,555.633,553.0581571,528.8518857
DOR,21.778,23.025,16.72169231,116.7688571,118.3095429,115.2604
FAL,22.981,24.26,17.68438462,75.20071429,72.75725714,72.81535714
LEA,18.188,19.339,13.84292308,634.5844286,598.3511571,544.1882286
NFK,17.916,19.06,13.62469231,397.6924286,368.623,342.2852143
OAK,17.152,18.276,13.01253846,119.8165714,112.8511286,105.2652143
RML,21.253,22.489,16.30123077,518.5098571,485.4759571,457.5691143
WAV,20.063,21.265,15.347,720.8862857,689.4533429,630.6567714
EUGO,21.805,23.054,16.74392308,1557.438714,1543.770043,1440.4173
BIGI,14.054,15.082,7.450615385,537.8041429,713.6702286,683.2608429
WFWI,15.46,16.505,8.611230769,68.09971429,47.80335714,51.25587143
ANDI,13.792,14.817,7.234538462,89.243,90.17505714,94.21744286
ARKI,13.792,14.817,7.234538462,463.49,595.1928143,593.7838714
BDDI,14.054,15.082,7.450615385,502.1267143,655.3508714,637.0865857
BFKY,17.435,18.504,10.24084615,317.9952857,257.3882429,281.2827429
BOMI,19.228,20.314,11.71976923,597.8661429,798.9370571,744.5696571
BRN,20.016,21.111,12.36984615,11705.18071,11340.41703,10772.9092
GAINTWSP,13.792,14.817,7.234538462,309.0478571,381.1920286,406.3202143
CSCI,13.322,14.341,6.847,409.3265714,374.3067571,369.0521
EMMI,14.567,15.601,7.874461538,1074.097,1349.233114,1285.284257
FLTI,16.719,17.78,9.650307692,48.17,46.28767143,49.26757143
GREY,15.847,16.897,8.930461538,141.2041429,137.9160714,159.6011143
GVZN,16.719,17.78,9.650307692,273.6464286,233.9325,282.4891143
HEII,16.226,17.281,9.243384615,2900.267429,2754.248457,3027.428671
BRUNEAUR,13.792,14.817,7.234538462,127.5785714,132.0777,129.6886429
HRJW,16.719,17.78,9.650307692,262.0245714,242.5353714,278.6429
HRSI,14.054,15.082,7.450615385,958.587,1169.102971,1135.361886
JCKY,17.435,18.504,10.24084615,560.5005714,496.6353286,538.9043857
JKSY,16.719,17.78,9.650307692,1488.725286,1277.616486,1430.077929
LORI,16.226,17.281,9.243384615,2936.159429,2786.260829,3054.971514
LUCI,14.054,15.082,7.450615385,489.7044286,637.2407143,623.5214
MALHEUR,14.865,15.902,8.119769231,119.574,197.9549857,278.0233429
MORI,13.792,14.817,7.234538462,11.00457143,13.2875,14.15811429
WOODGOOD,13.322,14.341,6.847,40.32671429,58.55117143,55.3232
OWY,13.304,14.322,6.830846154,377.9908571,373.0675429,399.9287429
PALI,16.239,17.293,9.253692308,2710.722857,2510.271729,2845.753371
PARI,15.958,17.008,9.021846154,653.3897143,864.7522714,802.8501143
PABI,13.792,14.817,7.234538462,500.6848571,491.4864714,482.1213571
PRPI,17.674,18.744,10.43830769,1211.823286,1530.226514,1437.041414
PRRO,15.075,16.114,8.292538462,62.66414286,85.3656,100.7739
REXI,16.719,17.78,9.650307692,955.3475714,879.4241429,908.3040429
ROMO,13.304,14.322,6.830846154,378.9638571,374.4315143,400.9087714
SALY,14.828,15.865,8.089076923,328.4184286,327.5593571,350.7407714
SKHI,13.322,14.341,6.847,6737.897,6168.394929,6203.330529
SNYI,15.958,17.008,9.021846154,9487.276,8696.087557,8259.5775
SRMO,17.098,18.163,9.962461538,1062.476286,888.4694571,983.3635714
SWAI,17.957,19.028,10.67138462,7464.444143,6879.930029,6811.817329
WEII,16.894,17.956,9.794230769,11543.39257,11208.55543,10504.47867
WEISERR,19.832,20.925,12.21830769,302.633,276.9275,273.5076714
BURO,14.989,16.028,8.222153846,11.396,25.18144286,25.69731429
CHEI,17.435,18.504,10.24084615,146.8315714,140.6158143,149.7201429
FALI,17.435,18.504,10.24084615,275.7251429,236.226,259.5682429
GRSY,17.717,18.789,10.47392308,8.584,7.262985714,7.588642857
ANTI,17.098,18.163,9.962461538,711.1304286,639.8705,654.0965429
HFAI,17.435,18.504,10.24084615,292.3861429,273.8511286,275.1748857
ISLI,18.354,19.433,10.99969231,172.0358571,161.0088143,160.6213857
HENI,18.354,19.433,10.99969231,21.80971429,20.403,20.43077143
MFPI,13.792,14.817,7.234538462,120.0615714,135.0481857,131.8804571
NPBI,13.792,14.817,7.234538462,500.6848571,491.4864714,482.1213571
PLEI,19.779,20.872,12.17507692,1091.845429,1372.7749,1303.333557
SNKBLWLSALMON,13.322,14.341,6.847,6545.420429,5967.469657,6015.364214
BUHL,13.322,14.341,6.847,6318.150571,5745.207629,5817.133614
DGGI,17.098,18.163,9.962461538,83.73371429,75.80118571,81.41091429
TRXI,16.719,17.78,9.650307692,165.6144286,159.9793143,168.3566857
TEAI,17.098,18.163,9.962461538,146.8315714,140.6158143,149.7201429
RIRI,16.239,17.293,9.253692308,59.40871429,39.53621429,42.23271429
SFNI,13.792,14.817,7.234538462,148.0782857,147.1974286,146.1083714
SALSM,18.354,19.433,10.99969231,727.8992857,586.5584857,523.7666143
SALMF,18.354,19.433,10.99969231,333.8788571,261.4244857,210.1875714
SELLO,19.15,20.238,11.65653846,136.0472857,87.63572857,68.62241429
LOCLO,19.401,20.492,11.86307692,251.0347143,167.8096714,147.3522571
CJSTR,14.054,15.082,7.450615385,7258.429571,6628.187786,6606.0333
LAPO,25.658,26.824,17.02761538,631.7482857,574.4823857,576.3534714
BENO,24.176,25.324,15.80523077,838.017,738.0952286,789.0735714
DEBO,25.251,26.411,16.69269231,840.9651429,742.8815429,792.3370714
TUMO,20.129,21.228,12.46423077,0.200857143,0.200085714,0.230928571
WHYCHUS,18.108,19.183,10.79653846,0.249,0.2529,0.259
METOLIUS,17.344,18.41,10.16476923,211.6971429,176.6981857,170.8392286
REREG,28.01,29.202,18.97,3042.103286,3024.964357,2937.134086
BUM,18.73,19.794,12.62984615,116.0857143,100.6184714,114.7673
RIM,18.064,19.098,12.06446154,196.2781429,173.2392714,205.1918
AMRW,20.181,21.317,13.86169231,146.9427143,121.6498857,143.4586429
CLFW,20.698,21.858,14.29930769,496.4377143,406.2853,453.0950571
NACW,22.146,23.375,15.52661538,1030.018429,901.7045,1034.0397
EASW,24.947,26.311,17.90407692,2666.823,2206.288186,2751.852629
YUMW,20.881,22.049,14.45423077,755.6675714,610.0821857,740.3744571
UMTW,23.656,24.958,16.80876923,1352.621286,1062.537043,1375.272914
AUGW,25.232,26.613,18.14753846,20.26628571,18.97712857,25.88447143
YGVW,27.744,29.24,20.27661538,3135.382286,2619.7268,3153.105714
KIOW,30.173,31.788,22.33707692,3190.918571,2675.783414,3219.833971
SAN,21.46,22.699,16.46707692,282.277,233.4548714,237.1368429
APP,21.162,22.392,16.22684615,94.29757143,112.5634429,93.25687143
ALBO,24.304,25.621,18.74753846,2022.029714,2042.155229,1955.022943
EGLO,21.165,22.394,16.23,810.5351429,858.4483571,824.3910571
GOSO,23.843,25.148,18.37707692,237.3505714,245.1682857,234.3556714
GRAO,22.775,24.05,17.52038462,1152.348,1254.536429,1220.252086
HARO,23.768,25.07,18.31684615,1849.157,1851.728,1749.491486
JFFO,24.057,25.366,18.54892308,611.1072857,533.7813571,499.9216
MEHO,21.857,23.108,16.785,399.5938571,322.0664,307.9474
MNRO,25.732,27.086,19.89215385,43.68385714,49.6729,53.80008571
RYGO,22.829,24.108,17.56584615,1105.089429,1174.802043,1156.577043
VIDO,18.188,19.339,13.84292308,601.7191429,563.7162714,510.4894857
WTLO,21.793,23.04,16.732,78.28014286,71.02455714,65.27318571
LUCKI,25.265,26.607,19.51776923,0.339857143,0.293871429,0.409228571
MOLAL,25.43,26.776,19.65061538,65.53942857,58.97814286,57.52128571
CLKTH,17.152,18.276,13.01253846,302.4402857,279.8072143,261.5277429
YAMMC,26.632,28.012,20.61430769,196.9401429,178.6754429,182.8477286
TULIN,25.254,26.595,19.50807692,137.4665714,126.6429857,124.0783571
WILPO,28.415,29.845,22.04469231,4437.042714,3739.045114,3852.701257
CRVAN,28.031,29.449,21.73653846,83943.18143,69253.90984,71862.05989
COWCA,21.176,22.407,16.23930769,1781.778857,1216.256929,1218.875786
KALAR,20.188,21.392,15.44661538,89.72614286,79.76281429,80.84558571
HAH,18.982,20.161,13.57353846,164.7778571,98.19807143,95.61592857
AUB,22.087,23.288,16.07007692,226.9531429,151.5932857,152.0109143
MUD,17.168,18.336,12.11715385,591.4705714,574.3800429,502.1509571
WRB,18.678,19.857,13.33046154,660.766,644.1399286,559.4104714
PUY,20.727,21.919,14.97692308,1197.269,1149.284871,1005.634614
CAR,16.782,17.949,11.80776923,223.855,199.2185571,171.0738571
POT,19.918,21.103,14.32692308,219.1417143,203.5604143,189.9201286
CHE,24.156,25.367,17.73130769,601.3367143,506.6467429,496.6177143
WHM,21.136,22.332,15.30661538,20.70285714,10.2721,7.807
SKC,21.102,22.294,15.27761538,7639.739571,6742.120371,5856.027143
CHEGR,23.314,24.522,17.05538462,427.2228571,337.9370286,345.7697571
SKYGB,21.202,22.397,15.35815385,363.427,209.8913143,152.2667286
SNOMO,22.992,24.196,16.79584615,806.9074286,490.7895714,424.2465571
NFSTI,21.835,23.034,15.86723077,4.195857143,3.291285714,3.081214286
SKAMO,21.653,22.849,15.72084615,8505.239857,7227.290386,5985.6326
LIBFI,18.852,19.938,11.41084615,100.8882857,63.12817143,61.77915714
FLANF,19.121,20.21,11.63276923,323.7838571,267.3152857,305.4647571
FLAWE,19.121,20.21,11.63276923,458.0851429,326.6091571,195.0976857
JOCDI,19.655,20.749,12.07353846,191.9474286,198.0235143,205.5804857
CLAPL,19.392,20.484,11.85661538,7168.761714,6020.519986,6699.359329
THOMP,19.392,20.484,11.85661538,51.11085714,30.0813,29.17268571
OKANA,26.394,27.827,19.13069231,1382.591,1182.832757,1273.137057
METPA,22.231,23.465,15.60215385,125.6097143,80.93112857,56.223
WENPE,21.935,23.153,15.34938462,522.0487143,455.0995143,585.4146571
WENMO,23.316,24.603,16.52161538,566.8662857,492.5555429,637.0603429
CLKEN,31.052,32.709,23.082,47181.217,40386.06731,43922.86474
QUECL,20.977,22.17,15.17584615,79.37571429,26.67517143,14.24767143
HOHFO,19.112,20.295,13.68023077,111.7364286,133.6627429,149.1677857
ELWPO,17.636,18.808,12.49161538,281.2542857,176.8322714,83.09618571
SATSA,21.072,22.267,15.25507692,52.63871429,42.43471429,42.4106
SKOPO,17.3,18.47,12.22353846,370.3784286,329.6063,321.3272571
CALAP,24.68,26.007,19.04938462,63.22171429,58.1991,60.4342
DUNDU,19.436,20.622,13.93938462,191.0341429,110.6642571,90.79717143
TOUTL,20.847,22.067,15.97430769,170.5382857,121.5354571,118.0088143
NOOFE,21.179,22.374,15.34030769,761.916,466.1167571,576.4811857
WILNF,18.352,19.506,13.97484615,510.9754286,507.7072857,486.2687143
COWKO,16.417,17.518,12.42230769,851.947,712.8838286,690.0436429
NOSAN,16.922,18.038,12.828,178.3672857,139.3893429,123.9485571
LEWCO,15.631,16.711,11.79123077,38.36371429,15.5172,12.37228571
COWLI,17.699,18.836,13.45046154,446.7148571,374.5389429,351.2788571
CISPU,15.559,16.638,11.73446154,288.9835714,224.7251143,209.2307286
WINDR,22.969,24.101,14.80669231,149.8257143,121.2747429,117.9068429
GLENW,20.194,21.291,12.51584615,234.2342857,203.0324286,254.4659143
WARMS,24.833,25.987,16.34638462,199.8394286,203.3292286,202.1004286
SUMMI,22.055,23.175,14.05330769,391.3138571,331.1126714,436.2706571
KLICK,24.354,25.503,15.95161538,51.901,53.19772857,65.54645714
TIECH,17.175,18.165,11.31030769,214.9377143,187.7278143,225.1005857
STEHE,17.052,18.036,11.20607692,873.396,825.7541286,920.9021143
WENPL,20.967,22.138,14.52669231,352.7332857,318.2921571,419.9564714
ROCHI,27.306,28.488,18.387,74.22014286,75.66901429,79.59742857
ENTAR,18.776,19.845,12.66915385,100.0404286,127.8536571,179.4141143
JOHND,30.797,32.023,21.268,328.3972857,292.3828143,291.5111286
METGO,18.313,19.356,12.27523077,65.36914286,47.46102857,40.4038
ENTIA,21.459,22.655,14.94530769,186.779,239.2701143,237.3611286
CHEWU,20.659,21.817,14.26638462,10.18042857,2.311828571,1.251328571
METWI,21.08,22.259,14.62353846,77.197,55.44134286,44.14651429
TWISP,20.376,21.52,14.02623077,33.69214286,13.83475714,4.859414286
METTW,21.62,22.823,15.08061538,115.4097143,78.99508571,54.45624286
ROCCR,25.478,26.642,16.88023077,3.053714286,4.278857143,3.933942857
JOHNR,27.614,28.802,18.64276923,3.130285714,5.990128571,5.042028571
SIMNI,22.221,23.456,15.59069231,703.944,575.3897571,671.6360143
OKANO,26.667,28.114,19.36169231,1197.333286,1018.473214,1010.141686
SIMOR,28.333,29.859,20.77415385,703.9648571,575.4083143,671.6674143
JOHNF,27.89,29.078,18.86884615,35.08042857,32.86841429,30.94887143
OKAOR,28.06,29.572,20.54361538,105.2054286,88.3517,80.77142857
CRAMO,26.484,27.923,19.20846154,74.17928571,78.76448571,82.38815714
WILCO,22.928,24.195,16.19169231,2.560571429,2.711814286,2.676857143
CRAIR,25.855,27.262,18.67315385,6.311285714,6.294385714,7.343242857
UMAMC,27.464,28.65,18.51807692,14.77414286,14.33048571,14.47072857
KETFE,18.473,19.527,12.41330769,74.22057143,71.31705714,75.41541429
SANPO,20.228,21.363,13.89992308,112.0818571,112.2534143,125.1134286
SANRE,18.404,19.454,12.35307692,134.4955714,138.1210429,147.2632
TOUCH,28.22,29.415,19.14192308,44.76785714,27.99945714,48.70121429
MALAB,14.335,15.365,7.680538462,34.94171429,59.47238571,90.15342857
MALNF,13.986,15.012,7.393,22.32371429,24.11554286,41.92848571
TUCAN,27.728,28.918,18.73661538,151.6191429,140.4716143,143.4040857
COLKE,21.892,23.106,15.31153846,93.33171429,85.22784286,99.56884286
HANGM,24.114,25.258,15.75261538,23.91842857,22.32301429,23.25588571
BULLY,15.352,16.394,8.521153846,23.49571429,34.16188571,67.0511
ASOTI,27.889,29.078,18.86769231,20.73171429,21.10874286,27.3505
PRIPR,16.255,17.202,10.53046154,679.7267143,546.6877714,554.5863143
PINEC,19.946,21.041,12.31276923,10.44085714,13.48877143,18.15427143
IMNAH,26.396,27.569,17.63784615,125.3644286,112.0746857,131.6181714
JOECA,19.002,20.09,11.53469231,173.6015714,78.3596,71.50267143
MOREA,11.603,12.325,6.584,129.819,108.7905857,112.4096571
COEUR,18.783,19.868,11.35384615,25.08914286,11.02765714,11.36378571
JOHNS,13.679,14.703,7.141923077,20.91985714,10.14322857,9.295142857
SFBOI,13.322,14.341,6.847,52.25357143,59.74378571,76.73712857
STREG,19.655,20.749,12.07353846,283.4305714,208.6840857,218.0514714
TOBAC,17.945,18.989,10.776,227.042,178.035,181.4469286
STILL,19.121,20.21,11.63276923,208.7007143,193.0268429,194.7875143
BITWF,18.797,19.88,11.36476923,92.397,81.27628571,76.60941429
BITDA,18.934,20.018,11.47730769,241.4914286,182.1151571,167.7135857
CLABE,19.655,20.749,12.07353846,1939.803429,1511.433143,1673.408971
BITCO,18.934,20.018,11.47730769,76.75257143,52.87334286,50.47948571
SWANR,19.392,20.484,11.85661538,408.6542857,388.6679429,402.0421429
BLACK,19.655,20.749,12.07353846,758.7662857,656.2780714,735.9566
ROCKC,19.786,20.882,12.18153846,114.5031429,75.91702857,66.79264286
FLATW,19.392,20.484,11.85661538,335.5532857,167.8379714,113.7585571
CLERI,19.655,20.749,12.07353846,184.8454286,160.9131,209.2287571
CLADR,19.786,20.882,12.18153846,260.3604286,192.9697571,198.6994286
FLINT,19.786,20.882,12.18153846,22.34314286,14.4924,14.13582857
BLADR,19.655,20.749,12.07353846,107.9815714,98.94501429,119.0686
NEVAD,19.655,20.749,12.07353846,95.71571429,87.87967143,105.5449286
BLAGA,18.678,19.76,11.26623077,26.92628571,16.62888571,21.14277143
SILSP,18.824,19.907,11.38630769,5.121714286,4.115028571,4.832085714
CLAGA,18.86,19.943,11.41630769,106.2702857,77.58318571,81.98615714
CLALO,18.884,19.968,11.43623077,151.32,110.7104571,114.3381286